epoch,accuracy,loss,val_accuracy,val_loss
0,0.4840852618217468,1.2117352485656738,0.6657060384750366,0.9557422399520874
1,0.6850262880325317,0.8383064866065979,0.6945244669914246,0.8275070190429688
2,0.7295876145362854,0.7267354726791382,0.7060518860816956,0.8113051652908325
3,0.7525601983070374,0.6674699187278748,0.7262247800827026,0.7852776050567627
4,0.7711043357849121,0.6175015568733215,0.7348703145980835,0.7901557683944702
5,0.7907556295394897,0.5765692591667175,0.6916426420211792,0.8026516437530518
6,0.8015499711036682,0.5480207204818726,0.6858789920806885,0.8441952466964722
7,0.8112372159957886,0.5297030806541443,0.6974063515663147,0.8475049734115601
8,0.8203709125518799,0.49376869201660156,0.7204610705375671,0.8643717169761658
9,0.8303349018096924,0.47307494282722473,0.680115282535553,0.8843780159950256
10,0.8380846977233887,0.4518463909626007,0.6743515729904175,0.9183902144432068
11,0.8502629399299622,0.4259873926639557,0.6772334575653076,0.9425535798072815
12,0.8569056391716003,0.40383198857307434,0.6858789920806885,0.9830418229103088
13,0.8732355237007141,0.3714892864227295,0.6484149694442749,1.019545555114746
14,0.870744526386261,0.35454440116882324,0.6743515729904175,1.0654460191726685
15,0.8823692202568054,0.33432647585868835,0.6714697480201721,1.060103178024292
16,0.8906725645065308,0.3115846812725067,0.680115282535553,1.0838886499404907
17,0.9058953523635864,0.28674519062042236,0.6829971075057983,1.119776725769043
18,0.9172433018684387,0.2597413659095764,0.6743515729904175,1.1860692501068115
19,0.9147523045539856,0.25025591254234314,0.6714697480201721,1.2388778924942017
20,0.9272072911262512,0.22306311130523682,0.651296854019165,1.2674355506896973
21,0.9338499903678894,0.20772913098335266,0.6599423885345459,1.3257206678390503
22,0.9385552406311035,0.18899793922901154,0.651296854019165,1.381201982498169
23,0.9435372352600098,0.17487697303295135,0.6714697480201721,1.4019742012023926
24,0.9487960338592529,0.1640707403421402,0.651296854019165,1.4649678468704224
