epoch,accuracy,loss,val_accuracy,val_loss
0,0.36756157875061035,1.3336538076400757,0.42939481139183044,1.2877397537231445
1,0.6371436715126038,1.00093412399292,0.651296854019165,0.930402398109436
2,0.7827290296554565,0.5978543758392334,0.680115282535553,0.7701146006584167
3,0.8452809453010559,0.4243749678134918,0.7002881765365601,0.7904311418533325
4,0.8831995725631714,0.33504363894462585,0.6829971075057983,0.8240800499916077
5,0.9034043550491333,0.27844715118408203,0.6829971075057983,0.8488290905952454
6,0.9189039468765259,0.2327006310224533,0.680115282535553,0.9388079643249512
7,0.9360641837120056,0.19441178441047668,0.6945244669914246,0.988340437412262
8,0.9451978802680969,0.16581664979457855,0.6743515729904175,1.057051420211792
9,0.9582064747810364,0.14238883554935455,0.6772334575653076,1.0982779264450073
10,0.9623581767082214,0.12920507788658142,0.6685879230499268,1.1483689546585083
11,0.9673401713371277,0.1130254715681076,0.6541786789894104,1.227641224861145
12,0.9678937196731567,0.1045679822564125,0.6685879230499268,1.2758598327636719
13,0.9712150692939758,0.09606543183326721,0.6916426420211792,1.2803303003311157
14,0.9709382653236389,0.09201765060424805,0.6916426420211792,1.3523986339569092
15,0.9725989699363708,0.08807084709405899,0.6685879230499268,1.3623039722442627
16,0.973429262638092,0.08288136124610901,0.6714697480201721,1.4170297384262085
17,0.9745364189147949,0.0799870640039444,0.6829971075057983,1.421889305114746
18,0.9753667116165161,0.07958527654409409,0.6772334575653076,1.4008926153182983
19,0.976473867893219,0.06958776712417603,0.6599423885345459,1.499435544013977
20,0.977027416229248,0.07223736494779587,0.6887608170509338,1.4840196371078491
21,0.9775809645652771,0.06927646696567535,0.6570605039596558,1.5159382820129395
22,0.9806255102157593,0.062221456319093704,0.6657060384750366,1.5956476926803589
23,0.9786880612373352,0.06497897952795029,0.6772334575653076,1.560971975326538
24,0.9775809645652771,0.06222807243466377,0.6772334575653076,1.5833863019943237
